[2020-04-23 14:47:01] development.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : C:\wamp\www\invoiceninja\app\Http\Controllers\ItemStoreController.php [Line 47] => Type error: Too few arguments to function App\Http\Controllers\ItemStoreController::getItemList(), 0 passed in C:\wamp\www\invoiceninja\app\Http\Controllers\ItemStoreController.php on line 44 and exactly 1 expected  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":3,"is_console":"no","is_api":"no","db_server":"mysql","url":"item_stores"} []
[2020-04-23 14:48:03] development.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : C:\wamp\www\invoiceninja\app\Http\Controllers\ItemStoreController.php [Line 47] => Type error: Too few arguments to function App\Http\Controllers\ItemStoreController::getItemList(), 0 passed in C:\wamp\www\invoiceninja\app\Http\Controllers\ItemStoreController.php on line 44 and exactly 1 expected  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":4,"is_console":"no","is_api":"no","db_server":"mysql","url":"item_stores"} []
[2020-04-23 15:44:58] development.ERROR: ***Symfony\Component\Console\Exception\CommandNotFoundException*** [0] : C:\wamp\www\invoiceninja\vendor\symfony\console\Application.php [Line 680] => Command "se" is ambiguous. Did you mean one of these?     session:table Create a migration for the session database table     serve         Serve the application on the PHP development server  {"context":"PHP","user_id":0,"account_id":0,"user_name":"","method":"GET","user_agent":"","locale":"en","ip":"127.0.0.1","count":1,"is_console":"yes","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-23 15:46:57] development.ERROR: ***Symfony\Component\Debug\Exception\FatalThrowableError*** [0] : C:\wamp\www\invoiceninja\app\Http\Controllers\ItemStoreController.php [Line 57] => Parse error: syntax error, unexpected ';', expecting ',' or ')'  {"context":"PHP","user_id":0,"account_id":0,"user_name":"","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"item_stores"} []
[2020-04-23 16:18:29] development.ERROR: ***Symfony\Component\Debug\Exception\FatalErrorException*** [1] : C:\wamp\www\invoiceninja\app\Libraries\CurlUtils.php [Line 35] => Maximum execution time of 60 seconds exceeded  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.113 Safari/537.36","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-23 16:19:43] development.ERROR: Expected ')'  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":5,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-23 16:22:11] development.ERROR: Expected ')'  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":6,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-23 16:22:38] development.ERROR: Unspecified error.  {"context":"JavaScript","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko","locale":"en","ip":"127.0.0.1","count":7,"is_console":"no","is_api":"no","db_server":"mysql","url":"log_error"} []
[2020-04-23 16:23:48] development.ERROR: ***Symfony\Component\Debug\Exception\FatalErrorException*** [1] : C:\wamp\www\invoiceninja\app\Libraries\CurlUtils.php [Line 35] => Maximum execution time of 60 seconds exceeded  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.113 Safari/537.36","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-23 16:24:47] development.ERROR: ***Symfony\Component\Console\Exception\CommandNotFoundException*** [0] : C:\wamp\www\invoiceninja\vendor\symfony\console\Application.php [Line 680] => Command "se" is ambiguous. Did you mean one of these?     session:table Create a migration for the session database table     serve         Serve the application on the PHP development server  {"context":"PHP","user_id":0,"account_id":0,"user_name":"","method":"GET","user_agent":"","locale":"en","ip":"127.0.0.1","count":1,"is_console":"yes","is_api":"no","db_server":"mysql","url":"/"} []
[2020-04-23 16:25:37] development.ERROR: CURL Error #7: Failed to connect to app.e-ninja.com port 443: Host unreachable  {"context":"PHP","user_id":11,"account_id":3,"user_name":"Administrator Account","method":"GET","user_agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.122 Safari/537.36","locale":"en","ip":"127.0.0.1","count":1,"is_console":"no","is_api":"no","db_server":"mysql","url":"invoices/create"} []
